time,CoPx,CoPy,Mx,My,displacement,work
0,-0.00098,0.00172,16.944621,13.229592,0.0,0.0
1,-0.0011,0.0015,16.726909,13.341936,0.0002539827159473679,0.24498916155618206
2,-0.00118,0.00136,16.590204,13.416851,0.00041581083464124486,0.40087538368629727
3,-0.00119,0.00136,16.594894,13.428779,0.0004245389501308569,0.41369229766744053
4,-0.00117,0.00145,16.690953999999998,13.419115,0.0005191506830184829,0.5102371913490827
5,-0.00117,0.00156,16.807803999999997,13.42731,0.00062945140831075,0.6273742073815901
6,-0.00111,0.00169,16.932904999999998,13.371784,0.0007690723594606433,0.7642442072975697
7,-0.0011,0.00176,16.997861999999998,13.360978,0.0008392325333486802,0.8300938958693463
8,-0.00107,0.00178,17.016208,13.321817999999999,0.0008832794401640281,0.8733383326907468
9,-0.00107,0.00178,17.011068,13.318681000000002,0.0008865596840573995,0.879359991017151
10,-0.00107,0.00176,16.983683,13.313457,0.0009054879697695283,0.9072388073657723
11,-0.00108,0.00172,16.933148,13.316726,0.0009520275228400072,0.9578794292616377
12,-0.00111,0.0017,16.910545,13.337423000000001,0.0009838396274544467,0.9885268013838946
13,-0.00115,0.00161,16.815111,13.372556,0.0010875781448913152,1.090222307897208
14,-0.00121,0.00141,16.623094000000002,13.434239999999999,0.0012973644170828037,1.2919038493059345
15,-0.00122,0.00116,16.383181,13.437563,0.0015476947987786722,1.5318398613966597
16,-0.00123,0.00094,16.179312,13.449136000000001,0.0017627512797319335,1.7360370785422428
17,-0.00127,0.0008,16.051904999999998,13.497480000000001,0.0019091023644563054,1.8723077136218533
18,-0.00135,0.00072,15.977705,13.575184000000002,0.002021475537411417,1.9797486351368876
19,-0.00141,0.0007,15.963621,13.641456999999999,0.0020889278168391735,2.047501639387619
20,-0.00144,0.00063,15.905937,13.669139000000001,0.0021595190344232333,2.1114839571011883
21,-0.00149,0.0004,15.68819,13.724799999999998,0.0023993465140830896,2.3362324897549063
22,-0.00149,8e-05,15.382595,13.727157,0.002723150976683591,2.641836579181079
23,-0.0015,-0.00019,15.123045999999999,13.734744000000001,0.00299095689521416,2.901496445101866
24,-0.00151,-0.00039,14.932576000000001,13.740144,0.003186368895869186,3.0920429772141014
25,-0.00151,-0.00053,14.789689999999998,13.744512,0.003333212826625618,3.2349957261208666
26,-0.00152,-0.00062,14.706280000000001,13.752581000000001,0.0034195820919924146,3.3187951107307763
27,-0.00152,-0.00063,14.689374,13.748065,0.0034321920087248894,3.336293884744976
28,-0.00154,-0.00064,14.675217,13.76345,0.003454139673748759,3.3572012727693092
29,-0.00155,-0.0006,14.718996999999998,13.776805,0.0035010924159477002,3.4029729280266823
30,-0.00159,-0.00056,14.757625999999998,13.814348,0.003552574645891633,3.4568401396679036
31,-0.00165,-0.00056,14.766796,13.871148,0.003608208897931182,3.5143755974309205
32,-0.0017,-0.00066,14.666501,13.925667,0.0037279523319891724,3.6285307917323624
33,-0.00176,-0.00088,14.457230999999998,13.980713,0.003954701753157121,3.8449193196537856
34,-0.00184,-0.00118,14.173051000000001,14.064843,0.004265879194498874,4.141290926424742
35,-0.00188,-0.00149,13.882826,14.099439,0.004573664200631402,4.433570644915438
36,-0.00188,-0.00181,13.580108999999998,14.103587999999998,0.0048904784048584195,4.736316076408633
37,-0.00186,-0.00203,13.360086,14.086198999999999,0.005120384124665477,4.957025156081397
38,-0.0018,-0.0022,13.196606,14.02792,0.005297889533033784,5.130582501765757
39,-0.00175,-0.00228,13.127185,13.977598,0.005388019494755734,5.21632385074628
40,-0.00173,-0.00232,13.086482,13.966596000000001,0.005436845102790863,5.258487558042959
41,-0.00171,-0.00235,13.066333,13.947605,0.005475670481089082,5.286175827797497
42,-0.00171,-0.00229,13.122328999999999,13.952724,0.005532045120777506,5.342405323411453
43,-0.0017,-0.00225,13.167672,13.945571999999999,0.005580003957293836,5.388308904459124
44,-0.00172,-0.00223,13.176973,13.954927000000001,0.005596552673256109,5.401500743830495
45,-0.00171,-0.00226,13.141380000000002,13.946583,0.005626600801317602,5.43805869761623
46,-0.00173,-0.00229,13.109229,13.950802999999999,0.005655005026355436,5.470485464352989
47,-0.00178,-0.00235,13.040270000000001,13.98578,0.005732781179513073,5.5478077393453855
48,-0.00182,-0.00236,13.014292000000001,14.016435999999999,0.005778910237600141,5.587990407499702
49,-0.00179,-0.00235,13.018002999999998,13.974879999999999,0.005815564978084832,5.629711776808486
50,-0.00174,-0.00223,13.138888,13.931021999999999,0.005949764419216307,5.758306906533528
51,-0.00165,-0.00216,13.209213,13.846465,0.006066177648705052,5.868286413142713
52,-0.0016,-0.00206,13.310575,13.809496999999999,0.006174094375860764,5.976179360400632
53,-0.00158,-0.00196,13.419965,13.798413,0.006280514392774878,6.0861294725242665
54,-0.00154,-0.00189,13.495274,13.775028,0.00635743805623418,6.164985694257242
55,-0.0015,-0.00184,13.549941,13.741471999999998,0.006422813969229718,6.229129953743186
56,-0.00149,-0.00187,13.524505999999999,13.733528999999999,0.006453246188997589,6.255776350760421
57,-0.00148,-0.0019,13.491300999999998,13.729883999999998,0.006491393928118016,6.2891808122887864
58,-0.00148,-0.00189,13.503327000000002,13.728812999999999,0.006502720445676384,6.3012544081491795
59,-0.0015,-0.00184,13.556984,13.748146,0.006561424619292916,6.358288069595731
60,-0.00152,-0.00166,13.722784,13.766002,0.006737755699933852,6.525046807705613
61,-0.00153,-0.00143,13.947708,13.775604000000001,0.006976249515367294,6.750175668982882
62,-0.00157,-0.0012,14.162344999999998,13.801266000000002,0.007208435346114995,6.966341299953671
63,-0.00154,-0.00088,14.464146,13.775214,0.0075290188765715655,7.269264640594502
64,-0.00157,-0.00048,14.837773000000002,13.797448,0.007923203921950003,7.643552612462423
65,-0.00163,-0.00015,15.155411,13.852037000000001,0.008256851670331437,7.965847288132064
66,-0.00162,8e-05,15.383216000000001,13.850979,0.008494057066560106,8.19365474496568
67,-0.00157,0.0002,15.487120999999998,13.796289000000002,0.008617848706019319,8.311073845307147
68,-0.00155,0.00027,15.548389,13.770329,0.008693787167947383,8.377614730663447
69,-0.00151,0.00036,15.620090999999999,13.721585,0.00879167960892216,8.464316255102178
70,-0.0015,0.00051,15.753017,13.699669,0.00893868607136514,8.599036827146689
71,-0.0015,0.00065,15.885334,13.706593000000002,0.00907894386972231,8.731534865868023
72,-0.0015,0.0008,16.033897000000003,13.700731,0.009233688982730765,8.880213472308226
73,-0.00148,0.001,16.234776,13.691324,0.009439458999983035,9.081312612758897
74,-0.00151,0.0013,16.532321,13.723088999999998,0.0097402261025724,9.380548376413577
75,-0.00153,0.00167,16.893896,13.751118,0.010103424175254507,9.743208141849449
76,-0.00153,0.00207,17.293286000000002,13.767813999999998,0.010503038639457193,10.142946967229221
77,-0.00149,0.00233,17.567688999999998,13.741525,0.010774035115449042,10.418606391029675
78,-0.00149,0.00236,17.592387,13.746077,0.010794746947816071,10.443720369368442
79,-0.00153,0.00223,17.468255000000003,13.775559999999999,0.010921204055168719,10.571305637769614
80,-0.00156,0.00207,17.296923999999997,13.793803,0.011085863461216478,10.743605140409645
81,-0.00159,0.00198,17.188869,13.807999,0.011185678540237633,10.852588668710942
82,-0.00158,0.00198,17.182150999999998,13.794169,0.011193466351226606,10.867963987374308
83,-0.00159,0.00201,17.207715999999998,13.801299,0.011223198488721244,10.894504637799647
84,-0.00161,0.00207,17.268766,13.820272,0.01128128609497249,10.958434890646013
85,-0.00155,0.00218,17.385460000000002,13.772548,0.011406011272863722,11.08451054179246
86,-0.00154,0.00228,17.489954,13.772957,0.01150640290598123,11.189005342222911
87,-0.00154,0.00239,17.605764,13.781888,0.011621894550700663,11.305159200794204
88,-0.00157,0.00253,17.737662,13.809251,0.011755879811084034,11.439865608113974
89,-0.00156,0.00263,17.837869,13.794372999999998,0.011864953043364008,11.541171075552807
90,-0.00154,0.0027,17.892402999999998,13.777377999999999,0.011928093680041186,11.598291887705644
91,-0.00153,0.00274,17.931535,13.760656,0.01197416145619763,11.640847013225375
92,-0.00148,0.00274,17.931418999999998,13.717572,0.012019163233940294,11.683931169385152
93,-0.00147,0.00271,17.895222999999998,13.704977,0.012054968261520232,11.722255893011033
94,-0.00151,0.00262,17.808231,13.740200999999999,0.012152438513392275,11.816108640653281
95,-0.00157,0.00243,17.627802,13.798751999999999,0.012347317039659281,12.005800083902574
96,-0.00168,0.00224,17.435541,13.900310999999999,0.012571928014457931,12.22323633341493
97,-0.00174,0.00213,17.328094999999998,13.947534999999998,0.012692140659383497,12.340602210449102
98,-0.00174,0.00205,17.250622,13.952484000000002,0.012772635690286032,12.418233121367368
99,-0.00172,0.00203,17.237558999999997,13.936070999999998,0.012801809994048076,12.43920997856763
100,-0.00163,0.00204,17.264037,13.868905000000002,0.012887473580244313,12.51140662696629
101,-0.00152,0.00203,17.270439,13.771768,0.01300370481528894,12.608754366400754
102,-0.00145,0.00195,17.199635,13.714245,0.013104720903116571,12.699979921729291
103,-0.00145,0.0019,17.142425,13.702007,0.013154343982424491,12.758484218528759
104,-0.00144,0.00183,17.068495,13.680607,0.01321793368284838,12.835449177438642
105,-0.00145,0.0018,17.024946,13.683679000000001,0.013254099550735105,12.87910639431054
106,-0.00145,0.00178,17.000014,13.679684,0.013273343510826522,12.90435643686496
107,-0.00145,0.00171,16.925851,13.673252999999999,0.013345686720597723,12.978797744819616
108,-0.00146,0.00164,16.857768999999998,13.677617000000001,0.013412392642373828,13.047019465847457
109,-0.0015,0.00157,16.781663,13.708495,0.01349468267822265,13.129150910008626
110,-0.00154,0.00148,16.687720000000002,13.74527,0.013596538753151933,13.230035437434788
111,-0.00155,0.00146,16.6729,13.762344000000002,0.013621250895916169,13.252644149826258
112,-0.00158,0.00146,16.689167,13.798875999999998,0.013649412749548343,13.292634177495664
113,-0.00162,0.00141,16.654358,13.847887,0.013713508927281496,13.35274860672859
114,-0.00171,0.00123,16.485554,13.934718999999998,0.013913838306055554,13.542576388257002
115,-0.00176,0.001,16.261340999999998,13.984906,0.014149559179123678,13.772337578056327
116,-0.00181,0.00079,16.050193,14.019698,0.014365860935935778,13.986332814377135
117,-0.00187,0.00052,15.788611,14.077006,0.014642031408651454,14.254118828926067
118,-0.00194,0.00033,15.602968999999998,14.144224,0.014847052407575955,14.451555430618864
119,-0.00197,0.00018,15.460951,14.166406,0.014998078133861245,14.595295311820983
120,-0.00197,5e-05,15.340466000000001,14.171803,0.015125647291575796,14.715901127742105
121,-0.00198,3e-05,15.321468,14.183679000000001,0.015151108045688743,14.738305667014318
122,-0.00195,7e-05,15.374780000000001,14.169494,0.015202169675118284,14.793472537226432
123,-0.00195,0.0002,15.504839,14.175797,0.015330769830639185,14.9236841776047
124,-0.00201,0.00037,15.666997,14.227984000000001,0.015510705930407964,15.094032937309608
125,-0.00215,0.00047,15.753632999999999,14.354667000000001,0.015678632134438188,15.24750729668276
126,-0.00229,0.00041,15.691944000000001,14.483724,0.015830601374746876,15.390550094369326
127,-0.00238,0.00025,15.533089999999998,14.567202,0.01601556580375959,15.57000251090363
128,-0.00244,7e-05,15.355634,14.628262000000001,0.0162121349773347,15.757669651170644
129,-0.00247,-0.00012,15.175753,14.657276,0.016401966744960667,15.939875541187954
130,-0.00252,-0.00026,15.039188000000001,14.695356,0.016548361177914927,16.0816503119513
131,-0.00258,-0.0003,14.999374,14.750302999999999,0.016620683028001883,16.14950550633611
132,-0.00264,-0.00032,14.974095,14.803223,0.016682324734662225,16.208153219343522
133,-0.00269,-0.00029,15.010748999999999,14.858142,0.01674902840772451,16.274180579407364
134,-0.00276,-0.00014,15.156414000000002,14.929123999999998,0.01691621121186417,16.43621988497549
135,-0.00281,7e-05,15.362199,14.981624,0.01712970034507708,16.648596240121254
136,-0.00286,0.00034,15.63647,15.042873,0.017408240431958665,16.929622967394657
137,-0.00295,0.00055,15.836671999999998,15.136028999999999,0.017628174649396512,17.150437099958673
138,-0.003,0.00074,16.028988,15.188751,0.017823430891294182,17.349848867765893
139,-0.00298,0.00086,16.154127,15.177044,0.017951298400849972,17.475534281279156
140,-0.00297,0.00091,16.192657,15.163532,0.01799705350985432,17.516364846349948
141,-0.00292,0.00083,16.104202,15.104016999999999,0.018088202728172416,17.622977801707165
142,-0.00282,0.00076,16.019534999999998,14.991866000000002,0.018215575291937142,17.763499499996076
143,-0.00272,0.0008,16.04614,14.880651,0.0183279501111806,17.87785247219182
144,-0.0026,0.00092,16.159514,14.767664,0.01849533786461555,18.037914104212113
145,-0.00248,0.00109,16.329559999999997,14.657957999999999,0.018705629281463694,18.24027775843885
146,-0.00242,0.00129,16.516923,14.598876,0.018911350111716737,18.436735327631286
147,-0.00238,0.00146,16.685257999999997,14.556082,0.019090157633929867,18.610424701690263
148,-0.00233,0.00158,16.801693,14.517445,0.01921775798659396,18.733102845603515
149,-0.00226,0.00175,16.96535,14.44775,0.019402954368848042,18.910982036837343
150,-0.00221,0.00194,17.148757,14.396238,0.019602242000175223,19.1014856163129
151,-0.00211,0.00218,17.374003,14.308252999999999,0.019853488890703246,19.343306047089538
152,-0.00203,0.00235,17.535813,14.229952,0.02004111111753152,19.52306567186941
153,-0.00192,0.00248,17.665959,14.125225,0.020215231334623048,19.690115741743686
154,-0.00181,0.00263,17.809834000000002,14.01865,0.020401952115469742,19.869163909145648
155,-0.00168,0.00273,17.908126,13.895897999999999,0.02056627025202198,20.026419658700313
156,-0.00161,0.00282,17.992822999999998,13.827815000000001,0.02067952964456847,20.135088314245504
157,-0.00163,0.00291,18.07786,13.843637000000001,0.020771336234745866,20.221584713320844
158,-0.00171,0.00299,18.155725,13.920867000000001,0.020884826895154553,20.331254358733784
159,-0.0018,0.00309,18.258176,14.011139,0.021020830498048003,20.46780193793239
160,-0.00184,0.00309,18.263462,14.055008,0.021062131587622008,20.51198825885867
161,-0.00185,0.00294,18.130952,14.077536,0.021211417688783502,20.646399608394336
162,-0.00188,0.00274,17.940527,14.105604,0.021419139907142542,20.83888205759166
163,-0.00186,0.00259,17.798415,14.088211999999999,0.02157094985411572,20.982054339154818
164,-0.00181,0.00248,17.699234999999998,14.04429,0.021684435095446916,21.090524678344845
165,-0.00178,0.00244,17.650539000000002,14.009170000000001,0.021739768991026392,21.150563955622303
166,-0.00176,0.0024,17.609727,13.986431,0.02178185521204943,21.197283132252466
167,-0.00174,0.0024,17.608394999999998,13.963916000000001,0.02180092246145777,21.219837498769838
168,-0.00167,0.0025,17.689885,13.893056999999999,0.021915267946720635,21.327826470341016
169,-0.00155,0.00264,17.827389,13.778429,0.022102266583079302,21.50684302935163
170,-0.00143,0.00283,18.010618,13.66584,0.02232640462090421,21.721899183325423
171,-0.00127,0.00302,18.187352,13.511683999999999,0.022571494910389532,21.956417794723325
172,-0.00111,0.00317,18.340966,13.361197,0.022795159771286367,22.171461041920256
173,-0.00102,0.00323,18.397813,13.270372,0.02290714923507649,22.278609359844523
174,-0.00099,0.00326,18.41866,13.236941999999999,0.022948397386550225,22.318006850995612
175,-0.00095,0.00325,18.411247,13.203219999999998,0.022978725261516994,22.352534026567906
176,-0.00094,0.00327,18.423848,13.183536,0.023004259748000966,22.375905912606477
177,-0.00091,0.00325,18.395118,13.156717,0.02303961763255307,22.41520822374717
178,-0.00087,0.00318,18.320311,13.113432,0.02312196531011595,22.50163552541742
179,-0.00082,0.00318,18.319193000000002,13.055866,0.02317961528843338,22.559212380836936
180,-0.00078,0.00325,18.386731,13.020719,0.02325743540151477,22.63534839762925
181,-0.00067,0.00341,18.549445,12.919433000000001,0.023454310387229053,22.827011382036776
182,-0.0006,0.00359,18.735222,12.865767,0.023647274036655574,23.02038442381096
183,-0.0005,0.0038,18.948407,12.776263,0.023880557662313267,23.25159603736227
184,-0.0004,0.00399,19.135057,12.688787999999999,0.02409130122686507,23.45772730166975
185,-0.00033,0.00411,19.249765,12.622660999999999,0.02422779858947695,23.59013087183687
186,-0.00032,0.0042,19.346904000000002,12.611920000000001,0.024328167508968997,23.68786190274313
187,-0.00033,0.00434,19.480751,12.622976,0.024460332405972698,23.82216474912026
188,-0.00034,0.00442,19.559855,12.634867,0.02454323499941826,23.902157490647227
189,-0.00037,0.00455,19.684178,12.662657,0.024678832823884583,24.02954859092115
190,-0.00037,0.00471,19.834098,12.662181,0.024837135382297263,24.179469346575594
191,-0.00029,0.00491,20.021061,12.584995,0.025049663709820914,24.381738577960398
192,-0.00017,0.00502,20.132687999999998,12.463293,0.025222247052006656,24.546880831587384
193,2e-05,0.00505,20.156969,12.281478,0.02541261461752137,24.73031000371112
194,0.00016,0.00495,20.054016,12.144746000000001,0.025581929974178703,24.901467708863414
195,0.00022,0.00483,19.929452,12.080451,0.025715560696694145,25.041646298958337
196,0.00019,0.00467,19.755368999999998,12.102316,0.025884870265236507,25.217097058757208
197,0.00018,0.00445,19.544583,12.110980999999999,0.026098304002026174,25.428061084176235
198,0.00018,0.00421,19.314979,12.104226,0.026340143060079254,25.65776442947403
199,0.00019,0.004,19.119567999999997,12.098398,0.026550476176825048,25.853262318222225
200,0.00023,0.00384,18.966755,12.061350000000001,0.02671690514065046,26.010502158189706
201,0.0003,0.00377,18.900669999999998,11.995283,0.02681469803405279,26.103947734403885
202,0.00041,0.00376,18.896242,11.891708,0.02692581598939755,26.207617343301575
203,0.00053,0.00381,18.945469,11.782709,0.02705127195776893,26.327217006888056
