time,CoPx,CoPy,Mx,My,displacement,work
0,0.00156,0.00908,24.348009,-0.783997,0.0,0.0
1,0.00146,0.0091,24.381783,-0.704418,9.477520772860355e-05,0.0864494090031843
2,0.00142,0.00921,24.477851,-0.6646150000000001,0.00020677810947672756,0.19043661702898174
3,0.00142,0.00929,24.555186,-0.6628890000000001,0.00029300368572879017,0.26779087548318503
4,0.00147,0.0094,24.647581,-0.713945,0.0004148556040559163,0.37335389533862473
5,0.00154,0.00942,24.666541000000002,-0.7716999999999999,0.0004854785465038192,0.43414140741964447
6,0.00161,0.00943,24.669141000000003,-0.834172,0.000557829911383827,0.4966674882499669
7,0.00167,0.00953,24.740912,-0.884426,0.0006667659017635016,0.5842833598543729
8,0.00177,0.0096,24.813018,-0.971319,0.0007878893511859772,0.6971977906637239
9,0.00183,0.00969,24.898591,-1.028686,0.0009003242212219264,0.8002206571449086
10,0.00184,0.00977,24.970131000000002,-1.03633,0.0009806857169770426,0.8721678762433585
11,0.00182,0.00976,24.955216,-1.016265,0.001003561468330822,0.8971691052131523
12,0.0018,0.00978,24.966472,-0.998507,0.0010321289323414716,0.9181939500401656
13,0.00172,0.00979,24.961706,-0.928378,0.0011123349794950371,0.9884847132811491
14,0.00164,0.00984,24.992888,-0.857765,0.0012045314002498571,1.0656761175500187
15,0.00156,0.00993,25.065769,-0.785142,0.0013282090861919896,1.1685631443804205
16,0.00147,0.01006,25.174026,-0.712413,0.0014861722464541214,1.2989820290942549
17,0.00145,0.01024,25.32816,-0.689865,0.0016685776191820096,1.4547565528778303
18,0.00149,0.01041,25.480933,-0.726749,0.001842548450070409,1.6119189497321669
19,0.00154,0.01057,25.63091,-0.771563,0.002005059526615978,1.7684481646570491
20,0.00155,0.01065,25.720374,-0.778113,0.0020863788970021265,1.858151619417721
21,0.00152,0.01063,25.718482,-0.749579,0.0021242208049878503,1.8867482769147081
22,0.00143,0.01059,25.692363999999998,-0.673489,0.002219117643712856,1.9671960116497533
23,0.00124,0.01048,25.586214000000002,-0.5059739999999999,0.0024424603624211227,2.1655116633895974
24,0.00103,0.01032,25.438093000000002,-0.328814,0.0027009767835629887,2.396434802639435
25,0.00088,0.01019,25.31653,-0.19598100000000002,0.002896228108782565,2.576496372270493
26,0.00083,0.01009,25.211835999999998,-0.149907,0.0030109462416125594,2.6908801434620413
27,0.00073,0.01005,25.154738000000002,-0.059153,0.0031239618600022306,2.798101736996178
28,0.00068,0.01003,25.119127,-0.018609,0.003175054814506741,2.852064309738776
29,0.0007,0.01007,25.151516,-0.034504,0.003226030298810472,2.888143366627782
30,0.0008,0.01012,25.196181,-0.12525999999999998,0.00334244000630946,2.9892948063654337
31,0.00082,0.01017,25.240197000000002,-0.142622,0.003391451229513945,3.036611265446817
32,0.00082,0.01018,25.263976,-0.13892200000000002,0.003402458499838598,3.060676402907465
33,0.00082,0.01011,25.229657,-0.139548,0.003471361112270929,3.095001111748182
34,0.00083,0.00999,25.159125,-0.146858,0.0035957383609943176,3.1659109074325587
35,0.00082,0.00978,24.994367,-0.13822099999999998,0.0037973964875352506,3.3308951379911176
36,0.00079,0.00952,24.763322,-0.1153,0.004066664402445291,3.5630743021424274
37,0.00067,0.00923,24.501852,-0.011977,0.004380771406506008,3.8442187547446434
38,0.00052,0.00896,24.257667,0.119977,0.004686033736314325,4.121776266516527
39,0.00039,0.0088,24.115903,0.233073,0.004893479946209803,4.3031260305417405
40,0.00029,0.00864,23.975472,0.32164000000000004,0.005080180615731901,4.469153074272573
41,0.00015,0.0085,23.86801,0.448224,0.00528560050279253,4.635200026969693
42,3e-05,0.00836,23.752793,0.54679,0.005464374382316355,4.786825267101409
43,-8e-05,0.00816,23.592731,0.648218,0.005691236454950811,4.976317966243091
44,-0.00015,0.00792,23.360363,0.7088479999999999,0.00593816608055292,5.216465596512474
45,-0.00017,0.00763,23.057695000000002,0.723776,0.006234363312140256,5.51950150759893
46,-0.00022,0.0072,22.666396,0.769077,0.006670014020850803,5.913414046117321
47,-0.00028,0.00681,22.305637,0.817153,0.007063787661410956,6.277362336203974
48,-0.00037,0.00645,22.012195,0.8964779999999999,0.007434358100059268,6.581337109810274
49,-0.00035,0.00629,21.868077,0.881518,0.0075891723435900175,6.72622948201806
50,-0.00028,0.00613,21.736072,0.816325,0.007767279783075295,6.87345531967572
51,-0.00023,0.00593,21.532303000000002,0.7729250000000001,0.007977887712650605,7.081794863116228
