time,CoPx,CoPy,Mx,My,displacement,work   
0,-0.0043,-0.00379,54.866445,-9.413303,0.0,0.0
1,-0.00433,-0.0037,54.925753,-9.395219,9.110960432358893e-05,0.062003789561608035
2,-0.00441,-0.00359,54.999191999999994,-9.335298,0.00022551198525487716,0.15678676779081935
3,-0.00452,-0.00346,55.098938,-9.255023,0.0003981839575028335,0.284823247518281
4,-0.00461,-0.00331,55.200320999999995,-9.190175,0.0005654635139345715,0.40517180709835915
5,-0.00476,-0.00313,55.335909,-9.079512,0.0008005691284996032,0.580187250168397
6,-0.00488,-0.00291,55.49886299999999,-8.98695,0.0010550760439262856,0.7675951741203934
7,-0.00495,-0.00271,55.64544099999999,-8.938178,0.0012714898373868593,0.9220743574040947
8,-0.00495,-0.00254,55.776478999999995,-8.938199000000001,0.0014358059351983702,1.0531123590868166
9,-0.00498,-0.00246,55.850292,-8.918554,0.0015258708007120725,1.1294948504968332
10,-0.00498,-0.00241,55.896125,-8.920838,0.0015773898263239585,1.1753847245977664
11,-0.005,-0.0024,55.916585,-8.911836,0.0015956120654838516,1.1977375231697576
12,-0.00497,-0.00238,55.93670899999999,-8.933105000000001,0.0016263732423143912,1.22701798998639
13,-0.00499,-0.00237,55.942651999999995,-8.913575,0.0016548944624846435,1.2474322043724515
14,-0.00498,-0.00234,55.962348,-8.922131,0.0016858566975460868,1.2689063179047988
15,-0.00497,-0.00236,55.94005500000001,-8.928719000000001,0.0017052004303812923,1.292152384088125
16,-0.00498,-0.00236,55.921724,-8.922287,0.0017150817258429275,1.3115790715309288
17,-0.00496,-0.00238,55.897446,-8.931218,0.0017389029348802512,1.3374476633944175
18,-0.00496,-0.00239,55.885216,-8.935649999999999,0.0017490941075311323,1.3504559501378766
19,-0.00498,-0.00246,55.825768,-8.913191000000001,0.0018257862844463764,1.4140049185402062
20,-0.00495,-0.00257,55.760947,-8.937113,0.0019358576249487957,1.4830992318011345
21,-0.00492,-0.00268,55.690089,-8.963574,0.002054475203747213,1.5587367931380796
22,-0.00491,-0.00282,55.603709,-8.972114,0.002193200327643369,1.6455379221629933
23,-0.00489,-0.00294,55.529103,-8.989669000000001,0.0023173383556605674,1.7221814689298314
24,-0.0049,-0.0031,55.412544000000004,-8.987018,0.002477988161138207,1.8387706120006975
