time,CoPx,CoPy,Mx,My,displacement,work
0,-0.00747,0.00799,62.429156,-3.339633,0.0,0.0
1,-0.00747,0.0081,62.493997,-3.33737,0.00010391737102140734,0.06488047818874461
2,-0.00747,0.00821,62.566786,-3.335717,0.00021463042354910686,0.1376882451507936
3,-0.00749,0.00835,62.661526,-3.323008,0.0003529666082586827,0.2332768756514985
4,-0.00752,0.00849,62.764283999999996,-3.3012500000000005,0.0005034661763643596,0.33831314142670027
5,-0.00753,0.00865,62.87495,-3.292937,0.0006583644010152592,0.449290929857541
6,-0.00755,0.00877,62.974158,-3.2802440000000006,0.0007854315092691217,0.5493076260287346
7,-0.00755,0.00893,63.095051,-3.277931,0.0009434702703374169,0.6702227508808343
8,-0.00757,0.00907,63.191931999999994,-3.262289,0.0010837360894096397,0.7683583729810649
9,-0.00759,0.00921,63.305385,-3.246409,0.0012226863323025557,0.8829173429877892
10,-0.0076,0.00932,63.390589999999996,-3.2441459999999998,0.001334335111964497,0.9681523897349995
11,-0.00761,0.00945,63.479557,-3.2372970000000003,0.0014608773183621975,1.0573826306289962
12,-0.00764,0.00953,63.520529999999994,-3.209026,0.0015500603885044626,1.1071625077883416
13,-0.00767,0.00959,63.568254,-3.1911519999999998,0.0016169887083698265,1.1581238662082356
14,-0.00769,0.00961,63.58010800000001,-3.173673,0.0016483581202227757,1.179243353820395
15,-0.00768,0.00964,63.597607,-3.180505,0.0016814798653458777,1.1980287530708709
16,-0.00768,0.00967,63.617476999999994,-3.17997,0.001708289005578276,1.217905954206836
17,-0.00769,0.00967,63.617291,-3.176148,0.0017147550708424028,1.221732477432951
18,-0.00767,0.00969,63.63111,-3.191644,0.0017409153460703156,1.2424952030969854
19,-0.00766,0.00971,63.652947,-3.1985029999999997,0.0017666542271648742,1.2653840748472465
20,-0.00766,0.00975,63.68478700000001,-3.194382,0.0018036121762421788,1.2974896544402177
21,-0.00762,0.00976,63.70868900000001,-3.229793,0.001853868021673331,1.3402125350195977
22,-0.00761,0.00975,63.69462599999999,-3.2326349999999997,0.0018698511377650087,1.354559832082125
23,-0.00757,0.00974,63.719308,-3.26798,0.0019166060305571024,1.3976698094539621
24,-0.00753,0.0097,63.734673,-3.2968360000000003,0.0019708596940278753,1.4303615815227886
25,-0.00749,0.00964,63.744447,-3.3320309999999997,0.0020453231750101586,1.4668885455493808
26,-0.00743,0.00954,63.668769,-3.3720790000000003,0.002157391457766705,1.552509816201016
27,-0.00741,0.00944,63.554354000000004,-3.3879580000000002,0.0022647769782059113,1.6680214384128031
