time,CoPx,CoPy,Mx,My,displacement,work
0,-0.00487,0.00204,58.799629,-13.839665,0.0,0.0
1,-0.00477,0.00197,58.706541,-13.9021761,0.0001425642115165818,0.12785439285324357
2,-0.0047,0.00191,58.64792,-13.949011,0.0002814980487517167,0.24741977120068273
3,-0.00466,0.0019,58.62543900000001,-13.978182,0.00045397642935956665,0.3938995611468103
4,-0.00466,0.0019,58.65011500000001,-13.977964,0.00064287380288145,0.5514587099654381
5,-0.00472,0.00192,58.711676999999995,-13.9506138,0.0008130968958174667,0.6946339847067923
6,-0.00478,0.00198,58.77854,-13.912122,0.0010114965086346001,0.8589459969726302
7,-0.00489,0.002,58.817705,-13.834226,0.0011955351692054833,1.0052592828979476
8,-0.00494,0.00204,58.858323,-13.798095,0.0013699500283725667,1.1517538516469636
9,-0.00493,0.00201,58.826249,-13.802483,0.0015347436260645666,1.2808989022806394
10,-0.00494,0.00201,58.820048,-13.796042,0.0016777906476973666,1.3848431189461647
11,-0.00491,0.00199,58.812254,-13.822483,0.0017603608836179666,1.444137816947495
12,-0.00482,0.00197,58.81649600000001,-13.888901,0.0018558878121859833,1.5177577657514763
13,-0.00478,0.00196,58.82264300000001,-13.922081,0.0019636971238541833,1.6010736749751973
14,-0.00484,0.00194,58.807253,-13.877332,0.0020754243356316667,1.6779238385547546
15,-0.00484,0.00192,58.780904,-13.879537,0.0022004369051719166,1.7693450801800887
16,-0.00481,0.0019,58.731976,-13.888931,0.0023490097596944332,1.8828438756697292
17,-0.00488,0.00191,58.701081,-13.8338194,0.0025007346564098003,2.0012869169887613
18,-0.00503,0.0019,58.687928,-13.72057,0.002649931641931917,2.111959020495026
19,-0.00515,0.00194,58.708286,-13.626794,0.0027809495139948163,2.1993396556668348
20,-0.00527,0.00194,58.712937999999994,-13.542258999999998,0.0029293580889627503,2.28839728448397
21,-0.00539,0.00199,58.714345,-13.44693,0.0030617526422545838,2.3647091113589673
22,-0.00553,0.00207,58.731342,-13.329703,0.003193616052530633,2.4322147913564476
23,-0.00563,0.00219,58.783855,-13.252501,0.0033509788650532995,2.525758298977503
24,-0.00568,0.00229,58.8285,-13.20682,0.003508525074236133,2.6246858291477264
25,-0.00568,0.00241,58.923434,-13.207091,0.003640170926197334,2.7146990851505897
26,-0.00567,0.00254,59.039056,-13.220330999999998,0.0037326948647991172,2.797667583524984
27,-0.00568,0.00261,59.129828999999994,-13.2268205,0.0038469967841864993,2.899465445177387
28,-0.00575,0.0027,59.240765999999994,-13.184355,0.003999598143935167,3.030955581130329
29,-0.00579,0.00276,59.334202000000005,-13.161462,0.004116382771748634,3.135863859649915
30,-0.00582,0.00284,59.44736400000001,-13.151948999999998,0.004254581728950783,3.257604053314164
31,-0.00586,0.0029,59.526425,-13.13143,0.004382137032686917,3.360562996098676
32,-0.00586,0.00297,59.598377000000006,-13.136355,0.004510348055247667,3.456008777232757
33,-0.00587,0.00304,59.659942,-13.129642999999998,0.0046405552180237165,3.5569394332915665
34,-0.00588,0.0031,59.689091000000005,-13.123675,0.00477691628988325,3.674551898810092
35,-0.00585,0.00313,59.704404999999994,-13.142108,0.004923152912648734,3.8054748388577866
